Date,AAPL,ABBV,AEP,AMT,AMZN,APD,BA,BAC,BRK-B,CAT,CMCSA,COP,COST,CVX,D,DIS,DUK,EOG,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,SLB,SO,T,TSLA,UNH,UPS,VZ,WMT,XOM
2016-02-01,0.78,0.6,0.56,0.32,0.74,0.18,0.12,0.94,0.02,0.44,0.82,0.76,0.04,0.38,0.52,0.22,0.48,0.5,0.98,0.06,0.62,0.08,0.16,0.28,0.26,0.58,0.68,0.24,0.2,0.1,0.64,0.84,0.54,0.8,0.96,0.4,1.0,0.3,0.88,0.36,0.72,0.42,0.66,0.9,0.92,0.14,0.34,0.7,0.86,0.46
2016-03-01,0.78,0.62,0.56,0.3,0.74,0.18,0.1,0.94,0.02,0.4,0.82,0.76,0.06,0.38,0.54,0.24,0.48,0.5,0.98,0.04,0.6,0.08,0.16,0.28,0.26,0.58,0.68,0.22,0.2,0.12,0.64,0.86,0.52,0.8,0.96,0.46,1.0,0.32,0.88,0.36,0.7,0.42,0.66,0.92,0.9,0.14,0.34,0.72,0.84,0.44
2016-04-01,0.82,0.6,0.56,0.3,0.72,0.16,0.1,0.96,0.02,0.38,0.8,0.64,0.08,0.36,0.54,0.24,0.48,0.44,0.94,0.06,0.66,0.04,0.18,0.28,0.26,0.52,0.74,0.22,0.2,0.12,0.62,0.84,0.58,0.78,0.98,0.5,1.0,0.32,0.86,0.4,0.68,0.42,0.7,0.92,0.9,0.14,0.34,0.76,0.88,0.46
2016-05-01,0.82,0.6,0.58,0.3,0.66,0.18,0.12,0.94,0.02,0.42,0.8,0.74,0.08,0.36,0.54,0.24,0.48,0.4,0.98,0.06,0.64,0.04,0.16,0.28,0.26,0.5,0.7,0.22,0.2,0.1,0.62,0.86,0.56,0.78,0.96,0.52,1.0,0.32,0.84,0.38,0.68,0.46,0.72,0.92,0.9,0.14,0.34,0.76,0.88,0.44
2016-06-01,0.82,0.6,0.52,0.28,0.66,0.16,0.12,0.94,0.02,0.44,0.8,0.76,0.06,0.36,0.5,0.26,0.48,0.42,0.96,0.04,0.7,0.08,0.18,0.3,0.24,0.56,0.72,0.2,0.22,0.14,0.62,0.88,0.58,0.78,0.98,0.54,1.0,0.32,0.84,0.38,0.64,0.46,0.68,0.9,0.92,0.1,0.34,0.74,0.86,0.4
2016-07-01,0.82,0.6,0.54,0.26,0.68,0.18,0.14,0.96,0.02,0.38,0.8,0.76,0.04,0.36,0.5,0.28,0.48,0.44,0.94,0.06,0.66,0.08,0.16,0.3,0.22,0.56,0.74,0.2,0.24,0.1,0.62,0.86,0.52,0.78,0.98,0.58,1.0,0.32,0.84,0.4,0.64,0.42,0.7,0.9,0.92,0.12,0.34,0.72,0.88,0.46
2016-08-01,0.8,0.62,0.58,0.26,0.68,0.16,0.12,0.94,0.02,0.4,0.82,0.76,0.06,0.38,0.56,0.28,0.48,0.42,0.98,0.08,0.66,0.04,0.18,0.3,0.24,0.5,0.72,0.2,0.22,0.1,0.6,0.78,0.52,0.84,0.96,0.54,1.0,0.32,0.86,0.36,0.64,0.44,0.7,0.9,0.92,0.14,0.34,0.74,0.88,0.46
2016-09-01,0.78,0.62,0.58,0.26,0.64,0.16,0.12,0.94,0.02,0.36,0.82,0.72,0.06,0.42,0.54,0.28,0.48,0.38,0.98,0.1,0.68,0.04,0.2,0.3,0.24,0.5,0.74,0.18,0.22,0.08,0.6,0.8,0.52,0.84,0.96,0.56,1.0,0.32,0.86,0.4,0.66,0.44,0.7,0.9,0.92,0.14,0.34,0.76,0.88,0.46
2016-10-01,0.78,0.68,0.56,0.22,0.66,0.16,0.06,0.92,0.04,0.38,0.84,0.72,0.12,0.36,0.54,0.28,0.48,0.42,0.98,0.1,0.62,0.02,0.2,0.3,0.26,0.5,0.74,0.18,0.24,0.08,0.6,0.8,0.52,0.82,0.96,0.58,1.0,0.32,0.88,0.4,0.64,0.44,0.7,0.9,0.94,0.14,0.34,0.76,0.86,0.46
2016-11-01,0.82,0.62,0.6,0.32,0.68,0.16,0.06,0.9,0.04,0.34,0.8,0.7,0.12,0.4,0.54,0.24,0.52,0.38,0.94,0.1,0.66,0.02,0.18,0.28,0.26,0.46,0.78,0.2,0.22,0.14,0.58,0.72,0.5,0.84,0.98,0.56,1.0,0.36,0.86,0.42,0.64,0.44,0.74,0.92,0.96,0.08,0.3,0.76,0.88,0.48
